Algorithm,Size,Comparisons
Selection,100,5050
Selection,200,20100
Selection,300,45150
Selection,500,125250
Selection,600,180300
Selection,800,320400
Selection,1000,500500
Selection,2000,2001000
Selection,3000,4501500
Selection,5000,12502500
Selection,6000,18003000
Selection,8000,32004000
Selection,10000,50005000
Selection,15000,112507500
Selection,17500,153133750
Selection,20000,200010000
Selection,21000,220510500
Selection,24000,288012000
Selection,25000,312512500
Selection,26000,338013000
Selection,28000,392014000
Selection,30000,450015000
Merge,100,545
Merge,200,1284
Merge,300,2097
Merge,500,3851
Merge,600,4799
Merge,800,6727
Merge,1000,8701
Merge,2000,19402
Merge,3000,30896
Merge,5000,55216
Merge,6000,67838
Merge,8000,93639
Merge,10000,120469
Merge,15000,189325
Merge,17500,224814
Merge,20000,260941
Merge,21000,275513
Merge,24000,319291
Merge,25000,334021
Merge,26000,348966
Merge,28000,378707
Merge,30000,408588
Heap,100,1029
Heap,200,2462
Heap,300,4027
Heap,500,7430
Heap,600,9249
Heap,800,13016
Heap,1000,16837
Heap,2000,37717
Heap,3000,60244
Heap,5000,107699
Heap,6000,132439
Heap,8000,182868
Heap,10000,235351
Heap,15000,370432
Heap,17500,439628
Heap,20000,510753
Heap,21000,539363
Heap,24000,625809
Heap,25000,654760
Heap,26000,683895
Heap,28000,742233
Heap,30000,800764
QuickSort-fp,100,737
QuickSort-fp,200,1782
QuickSort-fp,300,2957
QuickSort-fp,500,5375
QuickSort-fp,600,7088
QuickSort-fp,800,9355
QuickSort-fp,1000,12249
QuickSort-fp,2000,27602
QuickSort-fp,3000,44352
QuickSort-fp,5000,79154
QuickSort-fp,6000,94721
QuickSort-fp,8000,130292
QuickSort-fp,10000,166674
QuickSort-fp,15000,263386
QuickSort-fp,17500,314995
QuickSort-fp,20000,364035
QuickSort-fp,21000,381935
QuickSort-fp,24000,448099
QuickSort-fp,25000,463346
QuickSort-fp,26000,488798
QuickSort-fp,28000,520814
QuickSort-fp,30000,562793
QuickSort-rp,100,865
QuickSort-rp,200,1975
QuickSort-rp,300,3138
QuickSort-rp,500,5800
QuickSort-rp,600,7142
QuickSort-rp,800,9919
QuickSort-rp,1000,13002
QuickSort-rp,2000,28109
QuickSort-rp,3000,45518
QuickSort-rp,5000,80548
QuickSort-rp,6000,99283
QuickSort-rp,8000,137617
QuickSort-rp,10000,176932
QuickSort-rp,15000,275914
QuickSort-rp,17500,326428
QuickSort-rp,20000,377251
QuickSort-rp,21000,403173
QuickSort-rp,24000,457494
QuickSort-rp,25000,486920
QuickSort-rp,26000,515825
QuickSort-rp,28000,550725
QuickSort-rp,30000,595238
